"filename", "language", "C++", "CMake", "Markdown", "YAML", "HTML", "JSON", "Dart", "Swift", "Gradle", "Properties", "XML", "comment", "blank", "total"
"d:\final project\Graduation-Project\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\final project\Graduation-Project\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\final project\Graduation-Project\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 8, 9, 62
"d:\final project\Graduation-Project\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\final project\Graduation-Project\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"d:\final project\Graduation-Project\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 11, 2, 49
"d:\final project\Graduation-Project\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\final project\Graduation-Project\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\final project\Graduation-Project\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\final project\Graduation-Project\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\final project\Graduation-Project\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"d:\final project\Graduation-Project\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\final project\Graduation-Project\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\final project\Graduation-Project\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\final project\Graduation-Project\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"d:\final project\Graduation-Project\devtools_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\final project\Graduation-Project\firebase.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\final project\Graduation-Project\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\final project\Graduation-Project\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\final project\Graduation-Project\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"d:\final project\Graduation-Project\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"d:\final project\Graduation-Project\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\final project\Graduation-Project\lib\Logo\splashScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 3, 8, 62
"d:\final project\Graduation-Project\lib\Registeration\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 8, 18, 73
"d:\final project\Graduation-Project\lib\Registeration\forgetpassword.dart", "Dart", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 10, 19, 253
"d:\final project\Graduation-Project\lib\Registeration\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 7, 21, 320
"d:\final project\Graduation-Project\lib\Registeration\newPassword.dart", "Dart", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 2, 17, 276
"d:\final project\Graduation-Project\lib\Registeration\registeration.dart", "Dart", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 1, 5, 206
"d:\final project\Graduation-Project\lib\Registeration\sign-up.dart", "Dart", 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 14, 20, 412
"d:\final project\Graduation-Project\lib\Registeration\verification.dart", "Dart", 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 6, 12, 237
"d:\final project\Graduation-Project\lib\components\ButtonBar.dart", "Dart", 0, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 5, 12, 287
"d:\final project\Graduation-Project\lib\components\Ellipses.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 4, 3, 88
"d:\final project\Graduation-Project\lib\components\FAQCard.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 2, 42
"d:\final project\Graduation-Project\lib\components\card.dart", "Dart", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 7, 4, 123
"d:\final project\Graduation-Project\lib\constant\Colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"d:\final project\Graduation-Project\lib\constant\answers.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\final project\Graduation-Project\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 7, 87
"d:\final project\Graduation-Project\lib\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 7, 5, 199
"d:\final project\Graduation-Project\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 9, 47
"d:\final project\Graduation-Project\lib\views\ConatctUspage\contactUsPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 3, 11, 219
"d:\final project\Graduation-Project\lib\views\DeleteAccountPage\DeleteDataPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 3, 7, 261
"d:\final project\Graduation-Project\lib\views\DepOrBi_Test.dart", "Dart", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 2, 4, 148
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\DepOrBi.dart", "Dart", 0, 0, 0, 0, 0, 0, 601, 0, 0, 0, 0, 5, 17, 623
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\DepOrBilastpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 10, 16, 144
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\Result2DepOrBi.dart", "Dart", 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 54, 11, 334
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\ResultDepOrBi.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 4, 110
"d:\final project\Graduation-Project\lib\views\FAQPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 2, 13, 279
"d:\final project\Graduation-Project\lib\views\General_Test.dart", "Dart", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 1, 4, 146
"d:\final project\Graduation-Project\lib\views\InstructionScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 2, 8, 243
"d:\final project\Graduation-Project\lib\views\LoginActivityPage\LoginActivityPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 5, 11, 196
"d:\final project\Graduation-Project\lib\views\LoginActivityPage\component\PreviosLogInCard.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 5, 58
"d:\final project\Graduation-Project\lib\views\PreviosTestPage\PreviousTestPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 8, 13, 195
"d:\final project\Graduation-Project\lib\views\PreviosTestPage\component\ResultCard.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 81
"d:\final project\Graduation-Project\lib\views\PrivacySettingPage\PrivacySettingPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 12, 3, 287
"d:\final project\Graduation-Project\lib\views\UserProfile.dart", "Dart", 0, 0, 0, 0, 0, 0, 431, 0, 0, 0, 0, 30, 6, 467
"d:\final project\Graduation-Project\lib\views\accountsetting.dart", "Dart", 0, 0, 0, 0, 0, 0, 475, 0, 0, 0, 0, 26, 24, 525
"d:\final project\Graduation-Project\lib\views\changepassword.dart", "Dart", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 11, 21, 283
"d:\final project\Graduation-Project\lib\views\confirmpasswordfordeleteaccount.dart", "Dart", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 2, 15, 245
"d:\final project\Graduation-Project\lib\views\edituserprofile.dart", "Dart", 0, 0, 0, 0, 0, 0, 497, 0, 0, 0, 0, 17, 26, 540
"d:\final project\Graduation-Project\lib\views\firebase_notifications\firebase_notifications.dart", "Dart", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 14, 20, 128
"d:\final project\Graduation-Project\lib\views\generaltest.dart", "Dart", 0, 0, 0, 0, 0, 0, 527, 0, 0, 0, 0, 12, 15, 554
"d:\final project\Graduation-Project\lib\views\gentestlastpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 12, 15, 149
"d:\final project\Graduation-Project\lib\views\getintouch.dart", "Dart", 0, 0, 0, 0, 0, 0, 332, 0, 0, 0, 0, 11, 17, 360
"d:\final project\Graduation-Project\lib\views\journalPages\journal1.dart", "Dart", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 9, 14, 197
"d:\final project\Graduation-Project\lib\views\journalPages\journalPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 12, 17, 407
"d:\final project\Graduation-Project\lib\views\journalPages\journalYearPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 3, 24, 295
"d:\final project\Graduation-Project\lib\views\journalPages\updateandaskgemini.dart", "Dart", 0, 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 7, 27, 309
"d:\final project\Graduation-Project\lib\views\journalPages\widgets\JournalData.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 70
"d:\final project\Graduation-Project\lib\views\journalPages\widgets\JournalYearData.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 12, 5, 51
"d:\final project\Graduation-Project\lib\views\models\question.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\final project\Graduation-Project\lib\views\notifications\notifications.dart", "Dart", 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 7, 15, 300
"d:\final project\Graduation-Project\lib\views\reasonfordeleteaccount.dart", "Dart", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 3, 8, 162
"d:\final project\Graduation-Project\lib\views\requestdata\requestdata.dart", "Dart", 0, 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 1, 9, 251
"d:\final project\Graduation-Project\lib\views\result1.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 3, 109
"d:\final project\Graduation-Project\lib\views\resultPage2.dart", "Dart", 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 61, 14, 338
"d:\final project\Graduation-Project\lib\views\splashfile\slidingtext.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"d:\final project\Graduation-Project\lib\views\splashfile\splashbody.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 15, 76
"d:\final project\Graduation-Project\lib\views\splashfile\splashview.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"d:\final project\Graduation-Project\lib\views\widgets\custom_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"d:\final project\Graduation-Project\lib\views\widgets\custom_widgets.dart", "Dart", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 1, 12, 108
"d:\final project\Graduation-Project\lib\views\widgets\navigateor.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 4, 24
"d:\final project\Graduation-Project\linux\CMakeLists.txt", "CMake", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 146
"d:\final project\Graduation-Project\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\final project\Graduation-Project\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\final project\Graduation-Project\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\final project\Graduation-Project\linux\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\final project\Graduation-Project\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\final project\Graduation-Project\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"d:\final project\Graduation-Project\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\final project\Graduation-Project\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 4, 27
"d:\final project\Graduation-Project\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\final project\Graduation-Project\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\final project\Graduation-Project\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\final project\Graduation-Project\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 344
"d:\final project\Graduation-Project\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\final project\Graduation-Project\pubspec.yaml", "YAML", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 47, 18, 119
"d:\final project\Graduation-Project\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"d:\final project\Graduation-Project\web\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 5, 39
"d:\final project\Graduation-Project\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\final project\Graduation-Project\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\final project\Graduation-Project\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\final project\Graduation-Project\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\final project\Graduation-Project\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\final project\Graduation-Project\windows\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\final project\Graduation-Project\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\final project\Graduation-Project\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\final project\Graduation-Project\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\final project\Graduation-Project\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\final project\Graduation-Project\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\final project\Graduation-Project\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\final project\Graduation-Project\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\final project\Graduation-Project\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\final project\Graduation-Project\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 556, 459, 13, 60, 19, 278, 11020, 66, 83, 8, 472, 754, 1023, 14811